ticker,entry_time,exit_time,entry_price,exit_price,peak_price,pnl,pnl_pct,bars_to_exit,peak_capture,signal_valid,hmm_fit_success,exit_reason,status
CABO,2026-04-30 19:45:00+00:00,,91.62999725341797,81.47257014683315,95.00250244140625,-10.15742710658482,-11.085264008567815,1.0,-100.0,True,True,emergency_trailing_atr,completed
APWC,2026-04-30 19:45:00+00:00,,1.5299999713897705,1.5299999713897705,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
BDSX,2026-04-30 19:45:00+00:00,,11.083000183105469,11.039999961853027,11.430000305175781,-0.043000221252441406,-0.38798358334406075,10.0,-12.39199023789631,True,True,hmm_distribution_state,completed
CHSN,2026-04-30 19:45:00+00:00,,2.8299999237060547,2.8299999237060547,,0.0,0.0,0.0,0.0,False,True,no_accumulation_state,completed
BNAI,2026-05-01 18:45:00+00:00,,27.899999618530273,26.89139243534633,28.0,-1.008607183183944,-3.6150795590479503,3.0,0.0,True,True,emergency_trailing_atr,completed
CABO,2026-05-04 14:30:00+00:00,,72.0,72.0,,0.0,0.0,0.0,0.0,False,True,no_accumulation_state,completed
ACXP,2026-05-01 19:45:00+00:00,,2.1449999809265137,2.115678446633475,2.2200000286102295,-0.02932153429303863,-1.3669713078679588,20.0,-39.09535420122804,True,True,emergency_trailing_atr,completed
CHSN,2026-05-01 19:45:00+00:00,,2.930000066757202,2.9600000381469727,3.0999999046325684,0.029999971389770508,1.0238897851962572,6.0,17.647058823529413,True,True,hmm_distribution_state,completed
BDSX,2026-05-04 16:30:00+00:00,,11.279999732971191,11.829999923706055,11.890000343322754,0.5500001907348633,4.87588833116037,4.0,90.16387547840009,True,True,wyckoff_volume_climax,completed
BARK,2026-05-04 16:45:00+00:00,,9.305000305175781,9.34000015258789,9.385000228881836,0.034999847412109375,0.37614020703084966,1.0,43.74985098824595,True,True,hmm_distribution_state,completed
BDSX,2026-05-05 14:30:00+00:00,,14.720000267028809,14.720000267028809,,0.0,0.0,0.0,0.0,False,False,hmm_fit_failed,completed
BODI,2026-05-04 19:45:00+00:00,,13.5,14.295714582715716,15.260000228881836,0.7957145827157159,5.894182094190489,31.0,45.21104995658152,True,True,emergency_trailing_atr,completed
CHSN,2026-05-04 19:45:00+00:00,,2.990000009536743,2.3971429211752753,3.0399999618530273,-0.5928570883614679,-19.827996203027517,1.0,-100.0,True,True,emergency_trailing_atr,completed
BIYA,2026-05-04 19:45:00+00:00,,1.149899959564209,1.6749999523162842,1.7999999523162842,0.5250999927520752,45.6648413963836,1.0,80.77218867964663,True,True,wyckoff_volume_climax,completed
CHSN,2026-05-04 19:45:00+00:00,,2.990000009536743,2.990000009536743,,0.0,0.0,0.0,0.0,False,True,no_accumulation_state,completed
ADV,2026-05-05 19:45:00+00:00,,38.04999923706055,38.04999923706055,,0.0,0.0,0.0,0.0,False,True,no_accumulation_state,completed
